1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,455
1957,889
1958,898
1959,902
1960,900
1961,900
1962,901
1963,901
1964,900
1965,900
1966,900
1967,901
1968,900
1969,900
1970,900
1971,901
1972,900
1973,900
1974,900
1975,901
1976,900
1977,901
1978,900
1979,901
1980,901
1981,901
1982,900
1983,901
1984,900
1985,901
1986,900
1987,901
1988,900
1989,901
1990,900
1991,901
1992,901
1993,901
1994,900
1995,900
1996,900
1997,901
1998,900
1999,900
2000,900
2001,899
2002,817
2003,703
2004,592
2005,486
2006,382
2007,279
2008,179
2009,84
2010,11
2011,0
2012,0
2013,0
2014,0
2015,0
2016,0
2017,0
2018,0
2019,0
2020,0
2021,0
2022,0
2023,0
2024,0
2025,0
2026,0
2027,0
2028,0
2029,0
2030,0
2031,0
2032,0
2033,0
2034,0
2035,0
2036,0
2037,0
2038,0
2039,0
2040,0
2041,0
2042,0
2043,0
2044,0
2045,0
2046,0
2047,0
2048,102
2049,862
2050,895
2051,901
2052,901
2053,899
2054,900
2055,901
2056,900
2057,900
2058,900
2059,900
2060,900
2061,900
2062,900
2063,900
2064,900
2065,901
2066,900
2067,900
2068,900
2069,901
2070,901
2071,900
2072,901
2073,901
2074,901
2075,900
2076,900
2077,901
2078,900
2079,901
2080,900
2081,901
2082,900
2083,901
2084,900
2085,901
2086,900
2087,900
2088,900
2089,900
2090,900
2091,888
2092,786
2093,676
2094,566
2095,459
2096,355
2097,254
2098,157
2099,62
2100,6
2101,0
2102,0
2103,0
2104,0
2105,0
2106,0
2107,0
2108,0
2109,0
2110,0
2111,0
2112,0
2113,0
2114,0
2115,0
2116,0
2117,0
2118,0
2119,0
2120,0
2121,0
2122,0
2123,0
2124,0
2125,0
2126,0
2127,0
2128,0
2129,0
2130,0
2131,0
2132,0
2133,0
2134,0
2135,0
2136,0
2137,0
2138,0
2139,426
2140,884
2141,897
2142,904
2143,902
2144,899
2145,900
2146,901
2147,900
2148,900
2149,901
2150,901
2151,901
2152,901
2153,900
2154,901
2155,901
2156,901
2157,901
2158,900
2159,901
2160,900
2161,901
2162,901
2163,901
2164,901
2165,901
2166,900
2167,901
2168,901
2169,901
2170,901
2171,901
2172,901
2173,901
2174,901
2175,901
2176,901
2177,901
2178,901
2179,901
2180,901
2181,901
2182,893
2183,798
2184,688
2185,579
2186,471
2187,367
2188,267
2189,169
2190,75
2191,7
2192,0
2193,0
2194,0
2195,0
2196,0
2197,0
2198,0
2199,0
2200,0
2201,0
2202,0
2203,0
2204,0
2205,0
2206,0
2207,0
2208,0
